,Unnamed: 0,Unnamed: 0.1,Unnamed: 0.1.1,Avg.,CR,MPQA,MR,MRPC,SICKRelatedness,SST2,STSBenchmark,SUBJ,TREC,epoch,step
148,,,,15.88,0.00,0.00,0.00,0.00,67.24,0.00,75.71,0.00,0.00,1,381999
149,,,,15.87,0.00,0.00,0.00,0.00,67.38,0.00,75.44,0.00,0.00,1,383999
150,,,,15.85,0.00,0.00,0.00,0.00,67.13,0.00,75.50,0.00,0.00,1,385999
151,,,,15.89,0.00,0.00,0.00,0.00,67.56,0.00,75.43,0.00,0.00,1,387999
152,,,,15.92,0.00,0.00,0.00,0.00,67.66,0.00,75.66,0.00,0.00,1,389999
153,,,,15.85,0.00,0.00,0.00,0.00,67.15,0.00,75.54,0.00,0.00,1,391999
154,,,,15.86,0.00,0.00,0.00,0.00,67.36,0.00,75.36,0.00,0.00,1,393999
155,,,,15.87,0.00,0.00,0.00,0.00,67.24,0.00,75.60,0.00,0.00,1,395999
156,,,,15.85,0.00,0.00,0.00,0.00,67.17,0.00,75.47,0.00,0.00,1,397999
157,,,,15.84,0.00,0.00,0.00,0.00,67.08,0.00,75.45,0.00,0.00,1,399999
158,,,,15.83,0.00,0.00,0.00,0.00,67.04,0.00,75.45,0.00,0.00,1,401999
159,,,,15.84,0.00,0.00,0.00,0.00,67.15,0.00,75.39,0.00,0.00,1,403999
160,,,,15.86,0.00,0.00,0.00,0.00,67.36,0.00,75.40,0.00,0.00,1,405999
161,,,,15.91,0.00,0.00,0.00,0.00,67.51,0.00,75.69,0.00,0.00,1,407999
162,,,,15.89,0.00,0.00,0.00,0.00,67.53,0.00,75.50,0.00,0.00,1,409999
163,,,,15.86,0.00,0.00,0.00,0.00,67.23,0.00,75.51,0.00,0.00,1,411999
164,,,,15.83,0.00,0.00,0.00,0.00,67.15,0.00,75.36,0.00,0.00,1,413999
165,,,,15.82,0.00,0.00,0.00,0.00,66.89,0.00,75.45,0.00,0.00,1,415999
166,,,,15.88,0.00,0.00,0.00,0.00,67.44,0.00,75.44,0.00,0.00,1,417999
167,,,,15.87,0.00,0.00,0.00,0.00,67.31,0.00,75.49,0.00,0.00,1,419999
168,,,,15.86,0.00,0.00,0.00,0.00,67.17,0.00,75.56,0.00,0.00,1,421999
169,,,,15.84,0.00,0.00,0.00,0.00,66.99,0.00,75.57,0.00,0.00,1,423999
170,,,,15.86,0.00,0.00,0.00,0.00,67.15,0.00,75.60,0.00,0.00,1,425999
171,,,,15.84,0.00,0.00,0.00,0.00,67.24,0.00,75.32,0.00,0.00,1,427999
172,,,,15.85,0.00,0.00,0.00,0.00,67.33,0.00,75.36,0.00,0.00,1,429999
173,,,,15.84,0.00,0.00,0.00,0.00,67.14,0.00,75.42,0.00,0.00,1,431999
174,,,,15.84,0.00,0.00,0.00,0.00,67.04,0.00,75.50,0.00,0.00,1,433999
175,,,,15.79,0.00,0.00,0.00,0.00,66.75,0.00,75.36,0.00,0.00,1,435999
176,,,,15.82,0.00,0.00,0.00,0.00,67.06,0.00,75.33,0.00,0.00,1,437999
177,,,,15.86,0.00,0.00,0.00,0.00,67.19,0.00,75.52,0.00,0.00,1,439999
178,,,,15.81,0.00,0.00,0.00,0.00,66.76,0.00,75.49,0.00,0.00,1,441999
179,,,,15.84,0.00,0.00,0.00,0.00,67.16,0.00,75.43,0.00,0.00,1,443999
180,,,,15.84,0.00,0.00,0.00,0.00,67.29,0.00,75.30,0.00,0.00,1,445999
181,,,,15.87,0.00,0.00,0.00,0.00,67.43,0.00,75.44,0.00,0.00,1,447999
182,,,,15.84,0.00,0.00,0.00,0.00,67.09,0.00,75.46,0.00,0.00,1,449999
183,,,,15.87,0.00,0.00,0.00,0.00,67.35,0.00,75.49,0.00,0.00,1,451999
184,,,,15.84,0.00,0.00,0.00,0.00,67.19,0.00,75.38,0.00,0.00,1,453999
